サービス名（店舗名）,会社名,住所,電話番号,WebサイトURL
note,note,"B1, ２丁目-１０-15 渋谷 渋谷区 東京都 150-0002 日本",-,https://instagram.com/note.tokyo
TOMBOY 渋谷店｜グルメ ランチ ディナー 昼夜ご飯｜歓送迎会,TOMBOY 渋谷店｜グルメ ランチ ディナー 昼夜ご飯｜歓送迎会,日本、〒150-0044 東京都渋谷区円山町１０−１３ フラット円山 1F,03-5458-4008,https://tomboy-shibuyamaruyama.owst.jp/
NEXT DOOR,NEXT DOOR,"渋谷区神南１丁目８−１１ The OneFive Tokyo Shibuya 2F, Hotel Emit Shibuya, 11, The OneFive Tokyo Shibuya 2F, １丁目-８-11 神南 渋谷区 東京都 150-0041 日本",0570-085-015,https://www.instagram.com/next_door_shibuya/
Cafe&Bar Beans Garage Coffee（ビーンズ ガレージ コーヒー）,Cafe&Bar Beans Garage Coffee（ビーンズ ガレージ コーヒー）,日本、〒150-0032 東京都渋谷区鶯谷町１７−９,03-6452-5944,https://tabelog.com/tokyo/A1303/A130301/13272788/
Roasted COFFEE LABORATORY 渋谷神南店,Roasted COFFEE LABORATORY 渋谷神南店,日本、〒150-0041 東京都渋谷区神南１丁目６−３ 神南フラッグ １Ｆ,03-5428-3658,https://www.flavorworks.co.jp/roasted-coffee
Shibrewya（しぶるや）,Shibrewya（しぶるや）,日本、〒150-0043 東京都渋谷区道玄坂２丁目２５−１２ ホテルインディゴ東京渋谷 3F,03-6712-7475,https://www.instagram.com/shibrewya/
ハイリーファイブカフェ 渋谷1st【オートロック完全個室・ネットカフェ】,ハイリーファイブカフェ 渋谷1st【オートロック完全個室・ネットカフェ】,日本、〒150-0042 東京都渋谷区宇田川町１３−１１ KN渋谷1ビル 7F,03-3463-1982,https://www.hailey5cafe.com/shop/%E6%B8%8B%E8%B0%B7%E5%BA%97/
ロクシタンカフェ SHIBUYA TOKYO,ロクシタンカフェ SHIBUYA TOKYO,日本、〒150-0043 東京都渋谷区道玄坂２丁目３−１ 渋谷駅前 2 3階,03-5428-1563,https://jp.loccitane.com/cafe
喫茶サテラ,喫茶サテラ,"1階, １丁目-７-5 渋谷 渋谷区 東京都 150-0002 日本",080-8444-4243,https://satella.coffee/
YOLO cafe&bar 渋谷,YOLO cafe&bar 渋谷,日本、〒150-0043 東京都渋谷区道玄坂１丁目３−１１ 渋谷一番ビル ５階,080-4608-5505,https://tabelog.com/tokyo/A1303/A130301/13306663/
人間関係 cafe de copain,人間関係 cafe de copain,日本、〒150-0042 東京都渋谷区宇田川町１６−１２,03-3496-5001,https://www.instagram.com/ningenkankei_cafe_official/
Ivorish 渋谷,Ivorish 渋谷,日本、〒150-0042 東京都渋谷区宇田川町３−３ アトラス渋谷公園通り B1,03-6455-3040,https://ivorish.com/
STREAMER COFFEE COMPANY SHIBUYA,STREAMER COFFEE COMPANY SHIBUYA,日本、〒150-0002 東京都渋谷区渋谷１丁目２０−２８,03-6427-3705,http://www.streamer.coffee/
宇田川カフェ,宇田川カフェ,日本、〒150-0042 東京都渋谷区宇田川町１８−４ LD&Kビル 1/2F,03-6416-9087,http://www.udagawacafe.com/new/
Paul Bassett 渋谷ヒカリエ ShinQs 東横のれん街,Paul Bassett 渋谷ヒカリエ ShinQs 東横のれん街,日本、〒150-8510 東京都渋谷区渋谷２丁目２１−１ ShinQs 東横のれん街 B2F,03-5468-3165,https://paulbassett.jp/store/hikarie/
Café BOHEMIA,Café BOHEMIA,日本、〒150-0042 東京都渋谷区宇田川町３６−２２ ノア渋谷 PartⅡ 1F,03-6861-9170,https://www.udagawacafe.com/cafe-bohemia
東京基地 渋谷店,東京基地 渋谷店,日本、〒150-0042 東京都渋谷区宇田川町２８−１ 7F,03-3770-8960,http://1or8-kichi.com/
TOWER RECORDS CAFE 渋谷店,TOWER RECORDS CAFE 渋谷店,日本、〒150-0041 東京都渋谷区神南１丁目２２−１４ Jpr 渋谷タワーレコード渋谷店 2F,03-3496-3672,https://tower.jp/restaurants/cafe/shibuya
和カフェyusoshi 渋谷,和カフェyusoshi 渋谷,日本、〒150-0042 東京都渋谷区宇田川町３−１ 渋谷東武ホテル B1F,03-5428-1765,https://www.dd-holdings.jp/shops/yusoshi/shibuya#/
ダブルトール・コーヒーバー 渋谷cocoti店,ダブルトール・コーヒーバー 渋谷cocoti店,日本、〒150-0002 東京都渋谷区渋谷１丁目２３−１６,03-3409-8869,https://doubletall.com/cafe/cocoti/
MOGA cafe 渋谷,MOGA cafe 渋谷,日本、〒150-0042 東京都渋谷区宇田川町４−９ くれたけビル 2F,03-3464-6090,https://instagram.com/mogacafe_shibuya?igshid=MzRlODBiNWFlZA==
ミヤシタカフェ+ソフトクリーム,ミヤシタカフェ+ソフトクリーム,日本、〒20200 東京都渋谷区神宮前６丁目２０−１０ 2F MIYASHITA PARK South JP 1500001,03-6712-5650,https://daimyosoftcream.com/
Café Kitsuné Shibuya,Café Kitsuné Shibuya,日本、〒150-0002 東京都渋谷区渋谷６丁目２０−１０ NORTH 2F MIYASHITA PARK,03-6712-5322,http://maisonkitsune.com/
名曲喫茶ライオン,名曲喫茶ライオン,日本、〒150-0043 東京都渋谷区道玄坂２丁目１９−１３,03-3461-6858,http://lion.main.jp/
The3rd.Shibuya（ザサードシブヤ）,The3rd.Shibuya（ザサードシブヤ）,日本、〒150-0045 東京都渋谷区神泉町１２−４ アーガス神泉ビル 4F,050-5492-6802,https://ge4j606.gorp.jp/
カフェ&シーシャバー Chill collection渋谷センター街店,カフェ&シーシャバー Chill collection渋谷センター街店,日本、〒150-0042 東京都渋谷区宇田川町１３−１１ Kn渋谷1ビル B1F,03-6416-0890,https://chillcollection.net/
CAFE:MONOCHROME(カフェ:モノクローム) 渋谷 abstract art /music/movie,CAFE:MONOCHROME(カフェ:モノクローム) 渋谷 abstract art /music/movie,日本、〒150-0042 東京都渋谷区宇田川町４−１０ 渡辺ビル 2F,03-6452-5735,http://cafemonochrome.com/
渋谷スペイン坂 CAFE&BAR AIM,渋谷スペイン坂 CAFE&BAR AIM,日本、〒150-0042 東京都渋谷区宇田川町１３−４ 丸秀ビル 2F,03-6455-0127,-
ABOUT LIFE COFFEE BREWERS 渋谷一丁目店,ABOUT LIFE COFFEE BREWERS 渋谷一丁目店,日本、〒150-0002 東京都渋谷区渋谷１丁目１７−１ all day place 1階,03-6451-1716,https://onibuscoffee.com/
椿屋カフェ 渋谷店,椿屋カフェ 渋谷店,日本、〒150-0042 東京都渋谷区宇田川町２５−４ 東和渋谷ビル 2F・3F,03-3477-1383,https://www.towafood-net.co.jp/shops/4000-19/
"宇田川カフェ""suite""","宇田川カフェ""suite""",日本、〒150-0042 東京都渋谷区宇田川町３６−１２,03-3464-4020,http://www.udagawacafe.com/suite
nurikabe cafe SSS ヌリカベ カフェ エスリー,nurikabe cafe SSS ヌリカベ カフェ エスリー,日本、〒150-0002 東京都渋谷区渋谷３丁目１０−１４ B1,03-5962-6068,https://www.hotpepper.jp/strJ003599112/
青山壹番館 渋谷店,青山壹番館 渋谷店,日本、〒150-0011 東京都渋谷区東１丁目４−２７,03-3406-3387,https://www.facebook.com/pages/%E9%9D%92%E5%B1%B1%E5%A3%B9%E7%95%AA%E9%A4%A8/153038878047333
シーシャカフェCHILLAX渋谷店,シーシャカフェCHILLAX渋谷店,日本、〒150-0042 東京都渋谷区宇田川町１１−２ 宇田川柳光ビル 5F,03-6416-5442,https://www.instagram.com/chillax_shibuya/
SUZUCAFE Jinnan,SUZUCAFE Jinnan,日本、〒150-0041 東京都渋谷区神南１丁目２０−４ VORT渋谷briller 3F,03-5428-3739,https://www.completecircle.co.jp/suzucafe
トウキョウ サロナード カフェ ダブ,トウキョウ サロナード カフェ ダブ,日本、〒150-0043 東京都渋谷区道玄坂１丁目１１−４ 2F,03-3463-0724,https://orderpod.com/shop/top/tscdub
シーシャカフェ&バーNORTHVILLAGE 渋谷 U.D.A RIVER CITY,シーシャカフェ&バーNORTHVILLAGE 渋谷 U.D.A RIVER CITY,日本、〒150-0042 東京都渋谷区宇田川町３２−７ HULIC &New UDAGAWA 3F,03-5422-3557,https://shisha.tokyo/
ラウンジ「エスタシオン カフェ」,ラウンジ「エスタシオン カフェ」,日本、〒150-0043 東京都渋谷区道玄坂１丁目１２−２ 渋谷エクセルホテル東急 5F,03-5457-0133,https://www.tokyuhotels.co.jp/shibuya-e/restaurant/estacion/index.html
UPLIGHT COFFEE,UPLIGHT COFFEE,日本、〒150-0002 東京都渋谷区渋谷２丁目２３−１６ 東口地下広場 地下2F,03-6324-2739,https://www.transit-web.com/content/shops/uplight_cafe/
エクセルシオール カフェ 渋谷道玄坂店,エクセルシオール カフェ 渋谷道玄坂店,日本、〒150-0043 東京都渋谷区道玄坂２丁目６−１ 岩崎ビル,03-5428-3638,https://shop.doutor.co.jp/doutor/spot/detail?code=5000017
エクセルシオール カフェ 渋谷マークシティ店,エクセルシオール カフェ 渋谷マークシティ店,日本、〒150-0043 東京都渋谷区道玄坂１丁目１２−１ 渋谷マークシティ ウエスト ４Ｆ,03-5428-5460,https://shop.doutor.co.jp/doutor/spot/detail?code=5000021
渋谷ボードゲームカフェHighFive（ボドゲ・ハイファイブ）,渋谷ボードゲームカフェHighFive（ボドゲ・ハイファイブ）,日本、〒150-0002 東京都渋谷区渋谷３丁目１８−７ 窪島ビル 5階,070-8472-8491,http://boardgamecafe-highfive.com/
エクセルシオール カフェ 渋谷公園通り店,エクセルシオール カフェ 渋谷公園通り店,日本、〒150-0041 東京都渋谷区神南１丁目２０−１２ 遠山ビル １Ｆ・２Ｆ,03-5728-7667,https://shop.doutor.co.jp/doutor/spot/detail?code=5000040
THE THEATRE COFFEE,THE THEATRE COFFEE,日本、〒150-8510 東京都渋谷区渋谷２丁目２１−１ 11F 渋谷ヒカリエ,03-3486-8411,https://thetheatertable.jp/
1496 shisha cafe&bar/1496 シーシャカフェ&バー,1496 shisha cafe&bar/1496 シーシャカフェ&バー,日本、〒150-0043 東京都渋谷区道玄坂１丁目５−９ 4F,03-6455-1935,http://1496-shisha.com/
道玄坂カフェ,道玄坂カフェ,日本、〒150-0043 東京都渋谷区道玄坂２丁目１６−８ ビジネスヴィップ渋谷道玄坂坂本ビル 1F,03-6416-9993,https://www.udagawacafe.com/dogenzaka/
SHIBUYA BOOK CAFE,SHIBUYA BOOK CAFE,日本、〒150-0032 東京都渋谷区鶯谷町３−１２ 2F,03-6277-5710,https://www.instagram.com/shibuyabookcafe/
NORTH VILLAGE VIP渋谷店,NORTH VILLAGE VIP渋谷店,日本、〒150-0042 東京都渋谷区宇田川町３４−６ 1階,03-6809-0949,https://shisha.tokyo/shop/01/
アクセアカフェ渋谷店,アクセアカフェ渋谷店,日本、〒150-0002 東京都渋谷区渋谷３丁目１１−１１ ＩＶＹイーストビル ２Ｆ,03-6712-6301,https://cafe.accea.co.jp/map/shibuya.php
